"customer_id","customer_count"
43144950,1
51387498,1
49962432,2
51892189,2
38220390,1
36324563,1
50939638,1
29986964,1
49808604,1
45163343,1
51391784,1
46185636,3
51198030,1
49212427,1
51737934,3
49900555,1
50946116,1
33251180,3
46947284,1
44807182,4
45319609,17
52699760,1
50320769,14
48829268,1
52112119,1
39328892,1
34615219,3
52688014,1
50107364,3
38152466,1
51706553,1
26298519,1
16298267,12
51379224,1
52983621,1
51294479,1
51184632,3
48178629,7
52123361,1
51224353,1
50846002,2
51361810,11
45192371,1
45549278,5
45659878,2
10610782,31
51261944,1
51327910,4
40621688,3
50773759,20
49337695,59
44259353,7
37507074,13
49933304,2
13557657,9
51219313,11
25275974,1
49534676,22
50878764,2
35895498,3
42726538,4
20684920,2
51043263,1
7289067,1
51689233,4
53079466,1
34264158,1
47948705,1
25234245,1
50105804,2
42079088,1
13256129,1
51112212,1
49742693,1
21533423,4
12221729,1
52207154,3
50843428,5
45028033,1
29582334,1
48104621,2
49722521,2
52749382,1
12724384,1
50050516,2
52692861,8
51343449,1
42886713,1
31157201,1
51232557,5
52886806,1
36992189,1
45460321,1
50088721,2
43302207,1
12919871,1
17134188,1
41180736,2
51382373,2
35431512,12
33232794,1
40179982,1
36738191,1
16448662,1
53027087,2
10356883,1
43983870,1
47647737,1
52669375,1
28377946,2
48286782,1
52420334,1
49630455,1
44293863,1
49174034,1
52597656,1
34506604,2
36085979,3
52024996,1
12726025,1
26278760,1
45644901,2
50585301,1
37794813,1
17494122,1
49260380,1
51405403,5
49030928,1
51983799,1
25778211,1
13416061,1
35610139,1
32369867,1
26805622,1
51239859,3
50303599,1
49168862,4
29650621,1
51248689,2
10177117,1
52191448,1
51804174,1
32302032,1
27481161,2
32418510,1
1957119,2
51478524,1
51100089,1
52099780,1
52600726,1
49345737,1
49622898,1
50883847,1
32392250,1
51107379,1
49353849,1
49160680,1
50124023,1
49468113,1
32283546,1
50367948,1
49551038,8
47060854,1
45941951,1
36761565,2
